link_key,speed_ref_sd,tt_cv,tt_avg,road_closures,tt_sd,median_age,speed_avg,speed_hist_sd,median_inc,bus_stops,inrix_id,intersections,speed_cv,speed_hist_avg,speed_max,speed_ref_avg,tt_var,speed_sd,incidents,date,hour
"(712, 706, '0')",0.000,0.023,0.180,0.000,0.000,34.400,33.243,0.000,66.653,0,400072808.000,1,0.023,34.175,34.175,32.933,0.000,0.802,0,2020-10-06,16
"(703, 706, '0')",0.000,0.072,0.505,0.000,0.033,34.400,28.117,0.000,66.653,0,441679177.000,1,0.072,24.855,30.447,31.069,0.001,1.785,0,2020-10-06,16
"(715, 706, '0')",0.000,0.065,0.562,0.000,0.043,34.400,31.069,0.932,66.653,0,449897473.000,1,0.065,27.185,32.311,29.826,0.002,1.758,1,2020-10-06,16
"(717, 706, '0')",0.000,0.028,0.865,0.000,0.031,34.400,30.137,0.717,66.653,0,441450989.000,1,0.028,28.583,31.069,37.282,0.001,0.802,0,2020-10-06,16
"(729, 712, '0')",0.000,0.023,0.180,0.000,0.000,34.400,33.243,0.000,66.653,0,400072808.000,0,0.023,34.175,34.175,32.933,0.000,0.802,0,2020-10-06,16
"(706, 712, '0')",0.000,0.065,0.105,0.000,0.010,34.400,31.069,0.932,66.653,0,400072807.000,1,0.065,27.185,32.311,29.826,0.000,1.758,0,2020-10-06,16
"(70, 147, '0')",0.000,0.000,0.000,0.000,0.000,31.100,0.000,0.000,93.828,0,,0,0.000,0.000,0.000,0.000,0.000,0.000,0,2020-10-06,16
"(18, 1303, '0')",0.000,0.057,0.095,0.000,0.010,33.100,30.292,0.782,45.536,0,429471495.000,1,0.057,24.078,31.690,31.690,0.000,1.378,3,2020-10-06,16
"(34, 1303, '0')",0.000,0.161,0.198,0.000,0.038,26.700,19.107,0.717,30.907,0,429471496.000,2,0.161,20.505,21.748,29.204,0.001,3.303,1,2020-10-06,16
"(18, 5, '0')",0.000,0.063,0.377,0.000,0.030,33.100,16.932,0.782,45.536,0,1626648707.000,7,0.063,21.903,18.020,26.719,0.001,1.378,18,2020-10-06,16
"(150, 32, '0')",0.000,0.121,0.457,0.000,0.034,46.000,31.535,1.378,24.821,0,1626644298.000,0,0.121,18.486,33.554,29.826,0.001,2.233,8,2020-10-06,16
"(150, 287, '0')",0.000,0.026,0.200,0.000,0.000,46.000,65.555,0.311,24.821,0,1626686788.000,0,0.026,62.603,67.108,65.244,0.000,1.644,7,2020-10-06,16
"(560, 238, '0')",0.000,0.000,0.000,0.000,0.000,46.000,0.000,0.000,24.821,0,,0,0.000,0.000,0.000,0.000,0.000,0.000,0,2020-10-06,16
"(19, 309, '0')",0.000,0.008,0.273,0.000,0.005,29.900,65.244,0.000,39.750,0,1626616333.000,0,0.008,62.758,65.865,64.001,0.000,0.507,0,2020-10-06,16
"(135, 309, '0')",0.000,0.000,0.000,0.000,0.000,39.300,0.000,0.000,24.432,0,,0,0.000,0.000,0.000,0.000,0.000,0.000,0,2020-10-06,16
"(558, 115, '0')",0.000,0.064,0.285,0.000,0.024,29.000,49.088,0.311,36.974,0,170160930.000,1,0.064,49.244,52.195,47.846,0.001,3.168,0,2020-10-06,16
"(10, 1217, '0')",0.000,0.000,0.000,0.000,0.000,28.700,0.000,0.000,39.191,0,,1,0.000,0.000,0.000,0.000,0.000,0.000,0,2020-10-06,16
"(1214, 1217, '0')",0.000,0.134,1.477,0.000,0.205,28.700,16.311,1.190,39.191,0,449891953.000,1,0.134,18.330,19.884,25.476,0.042,2.453,0,2020-10-06,16
"(1216, 1217, '0')",0.000,0.092,1.225,0.000,0.107,28.700,19.263,0.879,39.191,0,1626721540.000,1,0.092,19.884,21.748,27.962,0.011,1.829,0,2020-10-06,16
"(10, 1285, '0')",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,2020-10-06,16
"(127, 555, '0')",0.000,0.000,0.000,0.000,0.000,29.000,0.000,0.000,36.974,0,,0,0.000,0.000,0.000,0.000,0.000,0.000,0,2020-10-06,16
"(1555, 1730, '0')",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,2020-10-06,16
"(22, 76, '0')",0.000,0.025,0.220,0.000,0.000,25.900,66.021,0.311,27.250,0,1626686518.000,0,0.025,62.603,68.351,62.758,0.000,1.553,1,2020-10-06,16
"(23, 57, '0')",0.000,0.114,0.307,0.000,0.039,34.400,19.729,0.000,66.653,0,1626615706.000,5,0.114,24.855,22.991,29.204,0.001,2.842,0,2020-10-06,16
"(23, 7, '0')",0.000,0.072,0.035,0.000,0.010,34.400,28.117,0.000,66.653,0,429471467.000,2,0.072,24.855,30.447,31.069,0.000,1.785,0,2020-10-06,16
"(1554, 1729, '0')",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0,2020-10-06,16
"(545, 557, '0')",0.000,0.000,0.000,0.000,0.000,26.700,0.000,0.000,30.907,0,,0,0.000,0.000,0.000,0.000,0.000,0.000,0,2020-10-06,16
"(41, 548, '0')",0.000,0.183,0.355,0.000,0.055,29.000,35.107,2.175,36.974,0,1626691238.000,0,0.183,31.845,41.010,31.690,0.003,5.840,0,2020-10-06,16
"(373, 668, '0')",0.000,0.051,0.177,0.000,0.005,29.300,12.117,0.621,20.750,0,400074037.000,0,0.051,12.117,13.049,26.098,0.000,0.621,3,2020-10-06,16
